Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmRandomForest__esm-1v_with_minor_reactions,0.87558626,0.841116466,0.910056053,0.994548794,0.989830404,0.999267185,0.58035856,0.556410613,0.604306508
PlmDomainsRandomForest__esm-1v_with_minor_reactions,0.875544081,0.842868067,0.908220095,0.994425765,0.989808268,0.999043263,0.568168663,0.544623299,0.591714026
PlmRandomForest__esm-2_with_minor_reactions,0.873840265,0.836956061,0.910724469,0.993587035,0.988606486,0.998567585,0.586106043,0.563190973,0.609021112
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions,0.873641007,0.848475237,0.898806777,0.995606163,0.993090364,0.998121962,0.491411458,0.478505611,0.504317305
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.873397535,0.853072617,0.893722454,0.989668885,0.985288083,0.994049688,0.473938828,0.463970698,0.483906957
PlmDomainsMLP__esm-2_with_minor_reactions,0.871795041,0.834815506,0.908774577,0.995076432,0.990701308,0.999451556,0.491465542,0.478879935,0.504051149
PlmDomainsRandomForest__esm-2_with_minor_reactions,0.871051365,0.831752596,0.910350134,0.994002114,0.989127874,0.998876355,0.580622352,0.558862164,0.60238254
PlmXgb__esm-1v_with_minor_reactions,0.868679457,0.841768842,0.895590072,0.9950248,0.989926194,1.000123405,0.49319879,0.479891476,0.506506103
PlmXgb__ankh_large_with_minor_reactions,0.864983956,0.831059999,0.898907912,0.995054647,0.989887299,1.000221995,0.506581013,0.490878483,0.522283542
PlmDomainsMLP__tps_ankh_base_with_minor_reactions_global_tuning,0.86104184,0.840799478,0.881284203,0.9969524,0.995446072,0.998458728,0.497229406,0.483334411,0.5111244
DomainsRandomForest__with_minor_reactions,0.860999578,0.820998343,0.901000813,0.979550832,0.969736675,0.989364988,0.621777931,0.599827204,0.643728657
PlmXgb__tps_ankh_base_with_minor_reactions,0.860515112,0.826035986,0.894994237,0.994922887,0.990004064,0.999841709,0.492635111,0.479217003,0.506053219
PlmDomainsMLP__esm-1v_with_minor_reactions_global_tuning,0.859853308,0.826649007,0.893057609,0.995804301,0.99315772,0.998450881,0.491323718,0.482416589,0.500230848
PlmXgb__tps_esm-1v_with_minor_reactions,0.858708316,0.822033039,0.895383593,0.994680839,0.98955582,0.999805857,0.488221001,0.473859164,0.502582838
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.858070981,0.823080646,0.893061316,0.993785566,0.991486218,0.996084913,0.483395995,0.469712403,0.497079587
PlmDomainsMLP__esm-1v_with_minor_reactions,0.857361208,0.82077343,0.893948987,0.995566288,0.992968881,0.998163696,0.489293872,0.476903279,0.501684465
PlmXgb__esm-2_with_minor_reactions,0.855999413,0.823412193,0.888586633,0.994394056,0.988915681,0.99987243,0.490944035,0.478009043,0.503879027
