Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Foldseek__with_minor_reactions,isTPS,0.8668812148479507,0.9442038166812117,0.32240671032468543,0.021889779443876378,0.014497726591067765,0.0040585496893974496
Blastp__with_minor_reactions,isTPS,0.9206133981911971,0.9752859031111033,0.2950308889322305,0.012953060420463578,0.008977136955151082,0.014524893259293696
HMM__with_minor_reactions,isTPS,0.9203168295995685,0.9901303021900087,0.7962919271407414,0.02702191740283131,0.0038472455753096966,0.017175473759844788
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning_domains_subset,isTPS,0.997719386626005,0.9995417223682874,0.7425926232057336,0.0021069311439234142,0.0006694809127137524,0.09649641711139866
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,isTPS,0.9695446065032636,0.9975222934247838,0.6332104258371603,0.017002510625214313,0.0016611841895307208,0.06087517293357996
PlmDomainsRandomForest__esm-2_with_minor_reactions_global_tuning,isTPS,0.9773961062695353,0.9975721690583373,0.6584521950440131,0.015248721309234204,0.001924998895586777,0.07457932248743451
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions,isTPS,0.9781592860487531,0.9975739098518916,0.706573546411761,0.009999521630869432,0.0016434610366168846,0.07762982715412467
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,isTPS,0.9751239278228875,0.9973620791421732,0.6423641329131089,0.017086111360855888,0.002050460687181941,0.05214619333449319
PlmDomainsRandomForest__esm-1v_with_minor_reactions_global_tuning,isTPS,0.9778551032184483,0.9975045406946614,0.6496542019137662,0.014326135688715698,0.002208175543108599,0.06608640164785615
PlmDomainsRandomForest__ankh_large_with_minor_reactions_global_tuning,isTPS,0.9692222304434861,0.9971155600037225,0.6633264812654641,0.01713410586118964,0.001887167630066034,0.08456450402508191
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,isTPS,0.9762312240119989,0.9974282109538418,0.6705563137154439,0.016663163270426697,0.0016258492948421537,0.07180603149444921
